8	15	0x4818	秋田	ＡＫＴ秋田テレビ
5	15	0x4820	秋田	ＡＡＢ秋田朝日放送
1	15	0x4C00	山形	ＮＨＫ総合・山形
2	15	0x4C08	山形	ＮＨＫＥテレ山形
4	15	0x4C10	山形	ＹＢＣ山形放送
5	15	0x4C18	山形	ＹＴＳ山形テレビ
6	15	0x4C20	山形	テレビユー山形
8	15	0x4C28	山形	さくらんぼテレビ
1	15	0x5000	岩手	ＮＨＫ総合・盛岡
2	15	0x5008	岩手	ＮＨＫＥテレ盛岡
6	15	0x5010	岩手	ＩＢＣテレビ
4	15	0x5018	岩手	テレビ岩手
8	15	0x5020	岩手	めんこいテレビ
5	15	0x5028	岩手	岩手朝日テレビ
1	15	0x5400	福島	ＮＨＫ総合・福島
2	15	0x5408	福島	ＮＨＫＥテレ福島
8	15	0x5410	福島	福島テレビ
4	15	0x5418	福島	福島中央テレビ
5	15	0x5420	福島	ＫＦＢ福島放送
6	15	0x5428	福島	テレビユー福島
1	15	0x5800	青森	ＮＨＫ総合・青森
2	15	0x5808	青森	ＮＨＫＥテレ青森
4	15	0x5810	青森	ＲＡＢ青森放送
6	15	0x5818	青森	ＡＴＶ青森テレビ
5	15	0x5820	青森	青森朝日放送
9	15	0x5C38	東京	ＴＯＫＹＯ ＭＸ１
9	15	0x5C3A	東京	ＴＯＫＹＯ ＭＸ２
11	15	0x6038	神奈川	ｔｖｋ
1	15	0x6400	群馬	ＮＨＫ総合・前橋
-1	15	0x6438	群馬	群馬テレビ
1	15	0x6800	茨城	ＮＨＫ総合・水戸
12	15	0x6C38	千葉	チバテレビ
1	15	0x7000	栃木	ＮＨＫ総合・宇都宮
-1	15	0x7038	栃木	とちぎテレビ
10	15	0x7438	埼玉	テレ玉
1	15	0x7800	長野	ＮＨＫ総合・長野
2	15	0x7808	長野	ＮＨＫＥテレ長野
4	15	0x7810	長野	テレビ信州
5	15	0x7818	長野	ａｂｎ長野朝日放送
6	15	0x7820	長野	ＳＢＣ信越放送
8	15	0x7828	長野	ＮＢＳ長野放送
1	15	0x7C00	新潟	ＮＨＫ総合・新潟
2	15	0x7C08	新潟	ＮＨＫＥテレ新潟
6	15	0x7C10	新潟	ＢＳＮ
8	15	0x7C18	新潟	ＮＳＴ
4	15	0x7C20	新潟	ＴｅＮＹテレビ新潟
5	15	0x7C28	新潟	新潟テレビ２１
1	15	0x8000	山梨	ＮＨＫ総合・甲府
2	15	0x8008	山梨	ＮＨＫＥテレ甲府
4	15	0x8010	山梨	ＹＢＳ山梨放送
6	15	0x8018	山梨	ＵＴＹ
1	15	0x8400	愛知	ＮＨＫ総合・名古屋
7	15	0x8430	愛知	テレビ愛知
1	15	0x8800	石川	ＮＨＫ総合・金沢
2	15	0x8808	石川	ＮＨＫＥテレ金沢
4	15	0x8810	石川	テレビ金沢
5	15	0x8818	石川	北陸朝日放送
6	15	0x8820	石川	ＭＲＯ
8	15	0x8828	石川	石川テレビ
1	15	0x8C00	静岡	ＮＨＫ総合・静岡
2	15	0x8C08	静岡	ＮＨＫＥテレ静岡
6	15	0x8C10	静岡	ＳＢＳ
8	15	0x8C18	静岡	テレビ静岡
4	15	0x8C20	静岡	だいいちテレビ
4	15	0x8C20	静岡	Daiichi-TV
5	15	0x8C28	静岡	静岡朝日テレビ
1	15	0x9000	福井	ＮＨＫ総合・福井
2	15	0x9008	福井	ＮＨＫＥテレ福井
4	15	0x9010	福井	ＦＢＣテレビ
8	15	0x9018	福井	福井テレビ
1	15	0x9400	富山	ＮＨＫ総合・富山
2	15	0x9408	富山	ＮＨＫＥテレ富山
4	15	0x9410	富山	ＫＮＢ北日本放送
8	15	0x9418	富山	ＢＢＴ富山テレビ
6	15	0x9420	富山	チューリップテレビ
1	15	0x9800	三重	ＮＨＫ総合・津
-1	15	0x9830	三重	三重テレビ
1	15	0x9C00	岐阜	ＮＨＫ総合・岐阜
-1	15	0x9C30	岐阜	ぎふチャン
1	15	0xA000	大阪	ＮＨＫ総合・大阪
7	15	0xA030	大阪	テレビ大阪
1	15	0xA400	京都	ＮＨＫ総合・京都
-1	15	0xA430	京都	ＫＢＳ京都
1	15	0xA800	兵庫	ＮＨＫ総合・神戸
-1	15	0xA830	兵庫	サンテレビ
1	15	0xAC00	和歌山	ＮＨＫ総合・和歌山
-1	15	0xAC30	和歌山	テレビ和歌山
1	15	0xB000	奈良	ＮＨＫ総合・奈良
-1	15	0xB030	奈良	奈良テレビ
1	15	0xB400	滋賀	ＮＨＫ総合・大津
